File Name,File Path,UUID,File Extension,Type of File,Status
20210930_Zeitschriften-MuliHulls.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/20210930_Zeitschriften-MuliHulls.pdf,2b6f8d9a-5b2b-5c56-9117-853eda72acb6,.pdf,<class 'str'>,imported
200503_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200503_Palstek.pdf,e519eebe-86a8-5128-aa29-c1691efa447e,.pdf,<class 'str'>,imported
200512_Inhaltsverzeichnis-Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200512_Inhaltsverzeichnis-Palstek.pdf,5e20204d-cf2c-54b3-8020-358b728a9183,.pdf,<class 'str'>,imported
200605_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200605_Palstek.pdf,dc59b1de-3e91-5a7a-97ce-4cae3695693d,.pdf,<class 'str'>,imported
200502_blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200502_blauwasser.pdf,d7bd2279-33bd-500a-94bb-87fabb1288c1,.pdf,<class 'str'>,imported
200806_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200806_Palstek.pdf,e3a9f271-18ad-5df8-b0fb-5915ffbd5986,.pdf,<class 'str'>,imported
201009_blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201009_blauwasser.pdf,93ef0903-be8c-58df-9742-f854e7674ed8,.pdf,<class 'str'>,imported
200901_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200901_Palstek.pdf,2a0cfc1a-efd4-56f9-91f9-1ba98141bf01,.pdf,<class 'str'>,imported
201201_YachtingBlue.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201201_YachtingBlue.pdf,d3066d1a-9538-5442-845e-8b4694706c05,.pdf,<class 'str'>,imported
201302_YachtingBlue.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201302_YachtingBlue.pdf,7b474124-f6f1-5103-ae60-e5dd7a6babde,.pdf,<class 'str'>,imported
200802-Blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200802-Blauwasser.pdf,1843097e-b002-5a54-89a1-c1589511e3d3,.pdf,<class 'str'>,imported
200607_Palstek-1.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200607_Palstek-1.pdf,1c4bf3df-d2fc-58e0-8fa4-e2f5c8f50dea,.pdf,<class 'str'>,imported
200504_blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200504_blauwasser.pdf,a42753a0-7292-5ff8-9ebf-da0829e57a6e,.pdf,<class 'str'>,imported
200606_Palstek Nr. 6-06.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200606_Palstek Nr. 6-06.pdf,608b899e-25ba-5075-96ac-f499412e6468,.pdf,<class 'str'>,imported
200505_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200505_Palstek.pdf,230d58c0-9c7d-5b4e-8354-34c5b16b7553,.pdf,<class 'str'>,imported
201012_blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201012_blauwasser.pdf,2f2c5283-6148-5033-b21f-2f970072f8b1,.pdf,<class 'str'>,imported
200803_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200803_Palstek.pdf,0bd4c6f8-6e88-5e8e-b1e5-2108d5a960f5,.pdf,<class 'str'>,imported
